"Mitigation","Standards/Regulations","What It Mitigates"
"Network segmentation & micro-segmentation","BSI-Grundschutz, IT-SiG/KRITIS, IEC 62351","Limits lateral movement, prevents spread of attacks, restricts unauthorized access across boundaries."
"Strong authentication & MFA","IEC 62351, IEC 61850, BSI-Grundschutz, IT-SiG/KRITIS","Prevents credential compromise, command injection, device tampering, API abuse and privilege abuse."
"Role-based access control (RBAC)","BSI-Grundschutz, IEC 62351, IT-SiG/KRITIS","Restricts insider privilege abuse, credential compromise, unauthorized access, and privilege escalation."
"Input validation & whitelisting","IEC 62351, BSI-Grundschutz","Prevents command injection, API abuse, false data injection, and price signal manipulation."
"Encryption (TLS 1.2/1.3, IPsec)","IEC 62351, BSI-Grundschutz","Mitigates eavesdropping, traffic analysis, man-in-the-middle, protocol downgrades, and information disclosure."
"Digital signatures & integrity checks (CMS/HMAC)","IEC 62351, IEC 61850, BSI-Grundschutz","Protects against message tampering, false data injection, SCADA data alteration, rogue device injection."
"Redundant paths & systems","BSI-Grundschutz, IT-SiG/KRITIS","Mitigates DoS/DDoS, network failures, alarm reduction, environmental hazards."
"Intrusion detection & anomaly detection","BSI-Grundschutz, IT-SiG/KRITIS, IEC 62351","Detects attacks like blind monitoring, false data, load manipulation, IoT botnets."
"Secure boot & firmware integrity","IEC 62351, BSI-Grundschutz","Mitigates backdoored firmware, device tampering, supply chain attacks."
"Vendor risk assessment & code signing","BSI-Grundschutz, IT-SiG/KRITIS, IEC 62351","Reduces supply chain risks, firmware manipulation, insider threats."
"Physical security controls","BSI-Grundschutz, IT-SiG/KRITIS","Mitigates theft, vandalism, cable tampering, environmental hazards, device tampering."
"Logging, audit trails, secure log storage","BSI-Grundschutz, IEC 62351, IEC 62443","Mitigates falsifying logs, blind security monitoring, insider privilege abuse."
"Incident response & reporting","BSI-Grundschutz, IT-SiG/KRITIS","Enables escalation and mitigation of successful attacks."
"Regular patching & updates","BSI-Grundschutz, IT-SiG/KRITIS, IEC 62351","Closes known vulnerabilities, mitigates exploit of outdated protocols/devices."
"Redundant time sync/authenticated time sources","IEC 62351, IEC 61850, BSI-Grundschutz","Prevents GPS spoofing, replay attacks, timestamp tampering."
