"Name","Description","Protocol","Threats"
"Command Frame","Control Frame, besteht aus Start/Stop Transmissions, Konfigurationsfragen, Header-Info, Control Commands an PMUs, historische PMU-Datenabfragen.","IEC 61850 GOOSE (with message authentication per IEC 62351-6), IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), IEC 62351-7 (role-based access, audit trails), BSI IT-Grundschutz (logging, anomaly detection)","<ul><li>Insider Privilege Abuse</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Exploit Vulnerable Protocols</li><li>IoT Botnet Participation</li><li>Rogue Device Injection</li><li>Unauthorized Voltage Setpoint Change</li><li>Command Injection</li><li>Replay Attack</li><li>Man-in-the-Middle</li></ul>"
"Data Frame","Synchrophasor Data Frame (U/I, Frequenz, ROCOF), Antworten auf WAMS-Anfragen.","IEC 61850 Sampled Values (IEC 62351-6 authentication), IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), IEC 62351-7 (RBAC, audit), BSI IT-Grundschutz (monitoring)","<ul><li>False Data Injection</li><li>Backdoored Firmware</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>"
"Aggregated InfoReports","Aggregierte InfoReports von SMGWs an DSO-DMS (Batch, nicht Echtzeit).","HTTPS/TLS 1.2 (TR-03109), CIM-XML (IEC 61970/61968), DLMS/COSEM over TLS (IEC 62056), TR-02102 (cryptography), BSI IT-Grundschutz (logging, access control)","<ul><li>SCADA Operational data</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Insider Privilege Abuse</li><li>Data Poisoning via Head-End</li><li>API Abuse</li><li>Privacy Leakage via Smart Meter Data</li><li>Unauthorized Voltage Setpoint Change</li><li>Fingerprinting</li><li>DDoS</li><li>Lateral Movement</li><li>Eavesdropping</li><li>Credential Compromise</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>DoS</li></ul>"
"Aggregated Phasorreports","IEC 61850 MMS Report.","IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), CIM-XML over TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Lateral Movement</li><li>Backdoored Firmware</li><li>Man-in-the-Middle</li></ul>"
"GOOSE Confirmation","Bestätigung, dass eine Aktion ausgeführt wurde (z.B. Breaker/Field Device aktiv).","IEC 61850 GOOSE (IEC 62351-6 authentication), IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>Backdoored Firmware</li></ul>"
"GOOSE-Trip","Kurzfristiges Signal an Protected-IED (unter 4ms).","IEC 61850 GOOSE (IEC 62351-6 authentication, MACsec), IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>DDoS</li><li>Man-in-the-Middle</li></ul>"
"Control Commands","Manuelles/Remote Switching, Konfigurationsänderungen.","TLS 1.2/3 (IEC 62351-3), IEC 61850 MMS, BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Unauthorized Voltage Setpoint Change</li><li>Man-in-the-Middle</li></ul>"
"SCADA-Telemetry/Data","Strom, Spannung, Alarm, Status als MMS Report, Logs/Historische Daten.","IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), IEC 62351-7, BSI IT-Grundschutz","<ul><li>Corrupting Telemetry</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Insider Privilege Abuse</li><li>Data Poisoning via Head-End</li><li>DDoS</li><li>Ransomeware</li><li>Exploit Vulnerable Protocols</li><li>Lateral Movement</li><li>Man-in-the-Middle</li></ul>"
"Live Phasor Data","Live Phasor Dashboard Data als JSON.","WebSocket/TLS 1.2/3 (IEC 62351-3), BSI IT-Grundschutz","<ul><li>False Data Injection</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Fingerprinting</li><li>DDoS</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>Exploit Vulnerable Protocols</li></ul>"
"CLS-Setpoint","TargetPower, TargetVoltage, TargetFrequency, LoadReduction/Increase, Scheduling.","HTTPS/TLS 1.2 (IEC 62351-3), CMS-signed CLS-JSON (TR-03109), BSI IT-Grundschutz","<ul><li>Ransomeware</li><li>Unauthorized Voltage Setpoint Change</li><li>Command Injection</li><li>Load Manipulation</li><li>False Data Injection</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>"
"Register/Deregister DER","Onboarding/Offboarding von DERs beim VPP Operator.","HTTPS/TLS 1.2 (IEC 62351-3), CMS-signed IEC 63110 Device Provisioning, BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Rogue Device Injection</li><li>Replay Attack</li><li>Third Party Integration</li><li>Third Party Integration</li></ul>"
