"Name","Description","Protocol","Threats","Mitigated"
"Command Frame","Start/Stop Transmissionen, Konfigurationsfragen, Header-Info, Control Commands an PMUs, historische PMU-Datenabfragen.","IEC 61850 GOOSE (IEC 62351-6 auth), IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), BSI IT-Grundschutz","<ul><li>Insider Privilege Abuse</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Exploit Vulnerable Protocols</li><li>IoT Botnet Participation</li><li>Rogue Device Injection</li><li>Unauthorized Voltage Setpoint Change</li><li>Command Injection</li><li>Replay Attack</li><li>Man-in-the-Middle</li></ul>","<ul><li><b>Insider Privilege Abuse</b>: BSI IT-Grundschutz (RBAC, logging)</li><li><b>Timestamp Tampering</b>: IEC 62351-6 (GOOSE auth), IEC 62351-3 (TLS, signed timestamps)</li><li><b>Communication Protocol Downgrade</b>: IEC 62351-3 (TLS 1.2/3 enforcement), BSI IT-Grundschutz (config management)</li><li><b>Exploit Vulnerable Protocols</b>: IEC 62351-3 (TLS 1.2/3), BSI IT-Grundschutz (patch management)</li><li><b>IoT Botnet Participation</b>: (no direct mitigation; BSI IT-Grundschutz for anomaly detection)</li><li><b>Rogue Device Injection</b>: IEC 62351-6 (device auth), BSI IT-Grundschutz (device inventory)</li><li><b>Unauthorized Voltage Setpoint Change</b>: IEC 62351-3 (RBAC, signed commands), BSI IT-Grundschutz (access control)</li><li><b>Command Injection</b>: IEC 62351-3 (signed messages), BSI IT-Grundschutz (input validation)</li><li><b>Replay Attack</b>: IEC 62351-6 (GOOSE sequence numbers), IEC 62351-3 (TLS nonces)</li><li><b>Man-in-the-Middle</b>: IEC 62351-3 (TLS 1.2/3), IEC 62351-6 (GOOSE auth)</li></ul>"
"Data Frame","Synchrophasor Data Frame (Spannung, Strom, Frequenz, ROCOF), Antworten auf WAMS-Anfragen.","IEC 61850 SV (IEC 62351-6 auth), IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), BSI IT-Grundschutz","<ul><li>False Data Injection</li><li>Backdoored Firmware</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>","<ul><li><b>False Data Injection</b>: IEC 62351-6 (SV auth), IEC 62351-3 (MMS TLS 1.2/3)</li><li><b>Backdoored Firmware</b>: (no direct mitigation; BSI IT-Grundschutz for supply chain management)</li><li><b>Exploit Vulnerable Protocols</b>: IEC 62351-3 (TLS 1.2/3), BSI IT-Grundschutz (patch management)</li><li><b>Man-in-the-Middle</b>: IEC 62351-3 (TLS 1.2/3), IEC 62351-6 (SV auth)</li></ul>"
"Aggregated InfoReports","Aggregierte InfoReports von SMGWs an DSO-DMS (Batch, nicht Echtzeit).","HTTPS/TLS 1.2 (TR-03109), CIM-XML (IEC 61970/61968), DLMS/COSEM over TLS (IEC 62056), TR-02102, BSI IT-Grundschutz","<ul><li>SCADA Operational data</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Insider Privilege Abuse</li><li>Data Poisoning via Head-End</li><li>API Abuse</li><li>Privacy Leakage via Smart Meter Data</li><li>Unauthorized Voltage Setpoint Change</li><li>Fingerprinting</li><li>DDoS</li><li>Lateral Movement</li><li>Eavesdropping</li><li>Credential Compromise</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>DoS</li></ul>","<ul><li><b>SCADA Operational data</b>: HTTPS/TLS 1.2 (TR-03109, data confidentiality)</li><li><b>Timestamp Tampering</b>: HTTPS/TLS 1.2, CIM-XML (signed timestamps)</li><li><b>Communication Protocol Downgrade</b>: HTTPS/TLS 1.2 (TR-03109, enforced TLS), BSI IT-Grundschutz (config management)</li><li><b>Insider Privilege Abuse</b>: BSI IT-Grundschutz (RBAC, logging, SIEM)</li><li><b>Data Poisoning via Head-End</b>: HTTPS/TLS 1.2, CIM-XML (data signing/validation)</li><li><b>API Abuse</b>: HTTPS/TLS 1.2 (authentication, rate limiting), BSI IT-Grundschutz (API security)</li><li><b>Privacy Leakage via Smart Meter Data</b>: HTTPS/TLS 1.2 (TR-03109, data confidentiality)</li><li><b>Unauthorized Voltage Setpoint Change</b>: HTTPS/TLS 1.2 (RBAC, signed commands), BSI IT-Grundschutz (access control)</li><li><b>Fingerprinting</b>: (limited by TLS/HTTPS, but full mitigation not guaranteed)</li><li><b>DDoS</b>: BSI IT-Grundschutz (network monitoring, rate limiting)</li><li><b>Lateral Movement</b>: BSI IT-Grundschutz (segmentation, logging)</li><li><b>Eavesdropping</b>: HTTPS/TLS 1.2 (TR-03109, encryption)</li><li><b>Credential Compromise</b>: HTTPS/TLS 1.2 (strong auth), BSI IT-Grundschutz (credential management)</li><li><b>Exploit Vulnerable Protocols</b>: HTTPS/TLS 1.2 (enforced TLS), BSI IT-Grundschutz (patch management)</li><li><b>Man-in-the-Middle</b>: HTTPS/TLS 1.2 (TR-03109, TLS handshake)</li><li><b>DoS</b>: BSI IT-Grundschutz (resilience, monitoring)</li></ul>"
"Aggregated Phasorreports","IEC 61850 MMS Report (Phasorreports).","IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), CIM-XML over TLS 1.2/3, BSI IT-Grundschutz","<ul><li>Lateral Movement</li><li>Backdoored Firmware</li><li>Man-in-the-Middle</li></ul>","<ul><li><b>Lateral Movement</b>: BSI IT-Grundschutz (segmentation, logging)</li><li><b>Backdoored Firmware</b>: (no direct mitigation; BSI IT-Grundschutz for supply chain)</li><li><b>Man-in-the-Middle</b>: IEC 62351-3 (TLS 1.2/3), CIM-XML over TLS</li></ul>"
"GOOSE Confirmation","Bestätigung, dass eine Aktion ausgeführt wurde (z.B. Breaker/Field Device aktiv).","IEC 61850 GOOSE (IEC 62351-6 auth), IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li><li>Backdoored Firmware</li></ul>","<ul><li><b>Exploit Vulnerable Protocols</b>: IEC 62351-3 (TLS 1.2/3), BSI IT-Grundschutz (patch management)</li><li><b>Man-in-the-Middle</b>: IEC 62351-6 (GOOSE auth), IEC 62351-3 (TLS 1.2/3)</li><li><b>Backdoored Firmware</b>: (no direct mitigation; BSI IT-Grundschutz for supply chain)</li></ul>"
"GOOSE-Trip","Kurzfristiges Trip-Signal an Protected-IED (unter 4ms).","IEC 61850 GOOSE (IEC 62351-6 auth, MACsec), IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>DDoS</li><li>Man-in-the-Middle</li></ul>","<ul><li><b>Exploit Vulnerable Protocols</b>: IEC 62351-3 (TLS 1.2/3), BSI IT-Grundschutz (patch management)</li><li><b>DDoS</b>: BSI IT-Grundschutz (network monitoring, rate limiting)</li><li><b>Man-in-the-Middle</b>: IEC 62351-6 (GOOSE auth, MACsec), IEC 62351-3 (TLS 1.2/3)</li></ul>"
"Control Commands","Manuelles/Remote Switching, Konfigurationsänderungen.","TLS 1.2/3 (IEC 62351-3), IEC 61850 MMS, BSI IT-Grundschutz","<ul><li>Exploit Vulnerable Protocols</li><li>Unauthorized Voltage Setpoint Change</li><li>Man-in-the-Middle</li></ul>","<ul><li><b>Exploit Vulnerable Protocols</b>: IEC 62351-3 (TLS 1.2/3), BSI IT-Grundschutz (patch management)</li><li><b>Unauthorized Voltage Setpoint Change</b>: IEC 62351-3 (RBAC, signed commands), BSI IT-Grundschutz (access control)</li><li><b>Man-in-the-Middle</b>: IEC 62351-3 (TLS 1.2/3)</li></ul>"
"SCADA-Telemetry/Data","Strom, Spannung, Alarm, Status als MMS Report, Logs/Historische Daten.","IEC 61850 MMS (IEC 62351-3 TLS 1.2/3), IEC 62351-7, BSI IT-Grundschutz","<ul><li>Corrupting Telemetry</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Insider Privilege Abuse</li><li>Data Poisoning via Head-End</li><li>DDoS</li><li>Ransomeware</li><li>Exploit Vulnerable Protocols</li><li>Lateral Movement</li><li>Man-in-the-Middle</li></ul>","<ul><li><b>Corrupting Telemetry</b>: IEC 62351-3 (TLS 1.2/3, message integrity), IEC 62351-7 (audit trails)</li><li><b>Timestamp Tampering</b>: IEC 62351-3 (signed timestamps, TLS)</li><li><b>Communication Protocol Downgrade</b>: IEC 62351-3 (enforced TLS 1.2/3), BSI IT-Grundschutz (config mgmt)</li><li><b>Insider Privilege Abuse</b>: BSI IT-Grundschutz (RBAC, logging)</li><li><b>Data Poisoning via Head-End</b>: IEC 62351-3 (signed data), BSI IT-Grundschutz (input validation)</li><li><b>DDoS</b>: BSI IT-Grundschutz (monitoring, rate limiting)</li><li><b>Ransomeware</b>: BSI IT-Grundschutz (backup, anomaly detection)</li><li><b>Exploit Vulnerable Protocols</b>: IEC 62351-3 (TLS 1.2/3), BSI IT-Grundschutz (patch mgmt)</li><li><b>Lateral Movement</b>: BSI IT-Grundschutz (segmentation, logging)</li><li><b>Man-in-the-Middle</b>: IEC 62351-3 (TLS 1.2/3)</li></ul>"
"Live Phasor Data","Live Phasor Dashboard Data (JSON).","WebSocket/TLS 1.2/3 (IEC 62351-3), BSI IT-Grundschutz","<ul><li>False Data Injection</li><li>Timestamp Tampering</li><li>Communication Protocol Downgrade</li><li>Fingerprinting</li><li>DDoS</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>","<ul><li><b>False Data Injection</b>: WebSocket/TLS 1.2/3 (IEC 62351-3, message integrity)</li><li><b>Timestamp Tampering</b>: WebSocket/TLS 1.2/3 (signed timestamps)</li><li><b>Communication Protocol Downgrade</b>: WebSocket/TLS 1.2/3 (enforced TLS), BSI IT-Grundschutz (config mgmt)</li><li><b>Fingerprinting</b>: (limited by TLS, not fully mitigated)</li><li><b>DDoS</b>: BSI IT-Grundschutz (rate limiting, monitoring)</li><li><b>Exploit Vulnerable Protocols</b>: WebSocket/TLS 1.2/3 (IEC 62351-3), BSI IT-Grundschutz (patch mgmt)</li><li><b>Man-in-the-Middle</b>: WebSocket/TLS 1.2/3 (IEC 62351-3)</li></ul>"
"CLS-Setpoint","TargetPower, TargetVoltage, TargetFrequency, LoadReduction/Increase, Scheduling.","HTTPS/TLS 1.2 (IEC 62351-3), CMS-signed CLS-JSON (TR-03109), BSI IT-Grundschutz","<ul><li>Ransomeware</li><li>Unauthorized Voltage Setpoint Change</li><li>Command Injection</li><li>Load Manipulation</li><li>False Data Injection</li><li>Exploit Vulnerable Protocols</li><li>Man-in-the-Middle</li></ul>","<ul><li><b>Ransomeware</b>: BSI IT-Grundschutz (backup, anomaly detection)</li><li><b>Unauthorized Voltage Setpoint Change</b>: HTTPS/TLS 1.2 (RBAC, signed commands), BSI IT-Grundschutz (access control)</li><li><b>Command Injection</b>: CMS-signed CLS-JSON (TR-03109), BSI IT-Grundschutz (input validation)</li><li><b>Load Manipulation</b>: HTTPS/TLS 1.2 (RBAC, signed commands), BSI IT-Grundschutz (access control)</li><li><b>False Data Injection</b>: CMS-signed CLS-JSON (TR-03109), HTTPS/TLS 1.2 (IEC 62351-3)</li><li><b>Exploit Vulnerable Protocols</b>: HTTPS/TLS 1.2 (IEC 62351-3), BSI IT-Grundschutz (patch mgmt)</li><li><b>Man-in-the-Middle</b>: HTTPS/TLS 1.2 (IEC 62351-3)</li></ul>"
